Date,Open,High,Low,Close,Adj Close,Volume
2016-05-16,41.630001,42.630001,41.584000,41.658001,41.658001,14747000
2016-05-17,41.810001,41.964001,40.804001,40.931999,40.931999,14218000
2016-05-18,41.830002,43.062000,41.549999,42.234001,42.234001,28087500
2016-05-19,42.723999,43.358002,41.459999,43.042000,43.042000,34331500
2016-05-20,43.397999,44.110001,43.270000,44.056000,44.056000,45035500
2016-05-23,43.973999,44.520000,43.172001,43.243999,43.243999,25512500
2016-05-24,43.320000,43.748001,43.035999,43.582001,43.582001,15069000
2016-05-25,43.582001,44.271999,43.301998,43.916000,43.916000,15634000
2016-05-26,44.099998,45.051998,43.810001,45.023998,45.023998,20362000
2016-05-27,44.998001,45.186001,44.150002,44.608002,44.608002,18251500
2016-05-31,44.608002,44.950001,44.299999,44.646000,44.646000,13945000
2016-06-01,44.296001,44.480000,43.377998,43.911999,43.911999,14913500
2016-06-02,43.917999,43.981998,43.422001,43.792000,43.792000,10164000
2016-06-03,44.000000,44.388000,43.602001,43.798000,43.798000,11145000
2016-06-06,43.599998,44.180000,43.090000,44.136002,44.136002,11247500
2016-06-07,44.448002,46.888000,44.304001,46.467999,46.467999,31068000
2016-06-08,46.759998,48.169998,46.521999,47.104000,47.104000,29860000
2016-06-09,46.995998,47.066002,45.411999,45.872002,45.872002,22460500
2016-06-10,45.478001,45.594002,43.683998,43.757999,43.757999,30133000
2016-06-13,43.900002,45.153999,43.532001,43.574001,43.574001,20965000
2016-06-14,43.776001,44.439999,42.506001,42.992001,42.992001,17901000
2016-06-15,43.389999,44.380001,43.026001,43.540001,43.540001,14542500
2016-06-16,43.484001,43.608002,42.700001,43.585999,43.585999,12201500
2016-06-17,43.562000,43.998001,42.900002,43.094002,43.094002,15563000
2016-06-20,43.900002,44.750000,43.646000,43.939999,43.939999,17777500
2016-06-21,44.136002,44.514000,43.762001,43.922001,43.922001,22645000
2016-06-22,39.894001,41.189999,39.150002,39.332001,39.332001,118712000
2016-06-23,39.138000,39.509998,38.425999,39.279999,39.279999,50653500
2016-06-24,38.009998,39.023998,37.945999,38.630001,38.630001,35132500
2016-06-27,38.172001,39.762001,37.574001,39.709999,39.709999,36027000
2016-06-28,40.377998,40.810001,39.882000,40.358002,40.358002,31062000
2016-06-29,41.026001,42.355999,40.599998,42.037998,42.037998,29974500
2016-06-30,42.594002,42.700001,41.804001,42.456001,42.456001,24215500
2016-07-01,41.228001,43.647999,41.200001,43.299999,43.299999,27000000
2016-07-05,41.945999,42.908001,41.599998,42.796001,42.796001,25876500
2016-07-06,42.000000,43.046001,41.799999,42.888000,42.888000,24599500
2016-07-07,42.619999,43.624001,42.602001,43.188000,43.188000,18060000
2016-07-08,43.560001,43.962002,42.900002,43.355999,43.355999,20374000
2016-07-11,43.992001,45.355999,43.902000,44.956001,44.956001,27149000
2016-07-12,44.820000,45.500000,44.644001,44.930000,44.930000,22856500
2016-07-13,45.099998,45.118000,44.057999,44.506001,44.506001,17835500
2016-07-14,44.624001,44.987999,44.209999,44.306000,44.306000,13379000
2016-07-15,44.504002,44.549999,43.928001,44.080002,44.080002,11171000
2016-07-18,43.928001,45.417999,43.660000,45.250000,45.250000,17060500
2016-07-19,45.000000,45.820000,44.950001,45.051998,45.051998,15575500
2016-07-20,45.293999,45.959999,45.000000,45.672001,45.672001,12842500
2016-07-21,45.200001,45.570000,43.820000,44.099998,44.099998,22143500
2016-07-22,44.397999,44.900002,43.776001,44.453999,44.453999,12898500
2016-07-25,44.453999,46.278000,44.273998,46.001999,46.001999,22453500
2016-07-26,45.537998,46.000000,45.060001,45.902000,45.902000,17150000
2016-07-27,45.868000,46.672001,45.383999,45.698002,45.698002,14445000
2016-07-28,45.590000,46.152000,45.320000,46.122002,46.122002,12095500
2016-07-29,46.139999,47.056000,46.048000,46.958000,46.958000,15354000
2016-08-01,47.099998,47.326000,45.875999,46.001999,46.001999,20081500
2016-08-02,45.874001,45.973999,44.279999,45.439999,45.439999,19672000
2016-08-03,45.473999,45.939999,44.841999,45.158001,45.158001,19439000
2016-08-04,45.138000,46.172001,44.410000,46.122002,46.122002,20735000
2016-08-05,46.000000,46.400002,45.480000,46.006001,46.006001,16026000
2016-08-08,45.599998,45.919998,45.217999,45.231998,45.231998,11318000
2016-08-09,45.363998,46.307999,45.330002,45.816002,45.816002,11039000
2016-08-10,45.647999,45.973999,44.924000,45.130001,45.130001,11691500
2016-08-11,45.234001,45.514000,44.681999,44.981998,44.981998,9404500
2016-08-12,45.082001,45.330002,44.807999,45.122002,45.122002,9067500
